id,title,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,status,num_episodes,source,average_episode_duration,rating,background,season,season_year,broadcast_day,broadcast_time,main_picture_url,genres,studios
6999,Tennis no Oujisama: Another Story - Kako to Mirai no Message Specials,2009-05-26,2009-09-25,"Aru Hi no Oshitari
Hyoutei Academy's Yuushi Oshitari is fed up with being the unfunny one in his daily life. He sets out to rectify this by getting himself into an idiotic situation, but his tennis club teammates do not seem to understand what he is doing.

Aru Hi no Oshitari 2
Even though he is supposed to be the humorous one, Kenya Oshitari is concerned that his recent ""manzai"" jokes have not been landing. Luckily for him, his teammate from the Shitenhouji Middle School tennis team, Hikaru Zaizen, has come to save the day by replacing him as the laughing stock in the jokes.

[Written by MAL Rewrite]",7.07,4123.0,8140,6529,2638,finished_airing,2,manga,220,pg_13,The specials were included in the DVD release of Tennis no Oujisama: Another Story - Kako to Mirai no Message.,spring,2009.0,,,https://cdn.myanimelist.net/images/anime/8/16345l.jpg,Comedy,M.S.C
7004,Shin Calimero,1992-10-15,1993-09-09,"The series tells about many adventures of the small fledgling Calimero and his friends, who uncover many secrets, sometimes getting into trouble along the way.",6.23,8766.0,11015,2742,1204,finished_airing,52,other,1260,g,,fall,1992.0,thursday,19:00,https://cdn.myanimelist.net/images/anime/12/61017l.jpg,Comedy,Toei Animation
7014,Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,2011-05-28,2011-05-28,"In the ancient Shakya Kingdom, King Suddhodhana learns that his wife, Maya, has a curious dream. A white elephant with six tusks enters her body—a sign that their future child, Siddhartha Gautama, is blessed. The wise prophet Master Asita sees the child and foretells that he will become ""chakravartin,"" the ruler of the world.

Meanwhile, young Chapra suffers the injustice of the rigid caste system. When Kosala army marches on Kapilavastu, Shakya's capital, Chapra plays a part in forcing them to retreat. But to escape the life of slavery and give his mother a better life, Chapra joins the Kosala army and swears to rise in the ranks.

As the young Siddhartha grows, he is taught everything he needs to know to inherit the throne. However, Siddhartha has no interest in martial arts or running a kingdom. What he seeks are the truths of the world and the meaning of life itself. Although Kosala's ever-expanding power threatens Shakya, Siddhartha abandons the royal life and ventures into the world to find the enlightenment he desires.

[Written by MAL Rewrite]",6.95,4653.0,6685,10603,3434,finished_airing,1,manga,6660,r,,spring,2011.0,,,https://cdn.myanimelist.net/images/anime/1931/98079l.jpg,"Drama, Historical, Military, Supernatural",Toei Animation
7016,Senjou no Valkyria: SenVal Theater,2009-08-05,2010-04-07,Special shorts that come with the DVDs for Valkyria Chronicles.,6.78,5489.0,6346,12022,5132,finished_airing,9,game,210,pg_13,,summer,2009.0,,,https://cdn.myanimelist.net/images/anime/5/19773l.jpg,Comedy,A-1 Pictures
7017,K-On!: Ura-On!,2009-07-29,2010-01-20,"The seven Blu-ray disc volumes of K-ON! have an extra short anime ""Ura-ON!""",6.38,7907.0,2941,64922,34761,finished_airing,7,original,164,g,,summer,2009.0,,,https://cdn.myanimelist.net/images/anime/9/23479l.jpg,Comedy,Kyoto Animation
7020,Fashion,1960,1960,Experimental anime from animation pioneer Yoji Kuri from 1960.,4.11,13956.0,13887,1173,615,finished_airing,1,original,293,g,,,,,,https://cdn.myanimelist.net/images/anime/13/71293l.webp,"Avant Garde, Comedy",
7021,Ni-hiki no Sanma,1960-11-26,1960-11-26,Original monochrome version of a short experimental film by animation pioneer Youji Kuri. ,4.81,13603.0,14217,1081,555,finished_airing,1,original,1332,g,,fall,1960.0,,,https://cdn.myanimelist.net/images/anime/1427/144176l.jpg,"Award Winning, Comedy",Kuri Jikken Manga Koubou
7022,G-senjou no Higeki,1969,1969,Short experimental animation from Yoji Kuri.,3.64,14010.0,12943,1525,883,finished_airing,1,original,546,pg_13,,,,,,https://cdn.myanimelist.net/images/anime/13/64697l.webp,"Avant Garde, Comedy",Kuri Jikken Manga Koubou
7024,Heya,1967,1967,Short experimental film from 1967 from animator Yoji Kuri.,3.9,13980.0,11997,2056,1232,finished_airing,1,original,298,r+,Winner of the 1967 Oofuji Noburou Award.,,,,,https://cdn.myanimelist.net/images/anime/6/16392l.jpg,"Avant Garde, Award Winning, Comedy",Kuri Jikken Manga Koubou
7025,Kiseichuu no Ichiya,1972,1972,Short experimental animation from 1972 by Yoji Kuri.,5.11,13265.0,10805,2921,1535,finished_airing,1,original,590,r,,,,,,https://cdn.myanimelist.net/images/anime/3/64693l.webp,"Avant Garde, Horror",Kuri Jikken Manga Koubou
